PokemonID;Name;NickName;CP / MaxCP;IV Perfection in %;Attack 1;Attack 2;HP;Attk;Def;Stamina;Familie Candies;IsInGym;IsFavorite;previewLink
96;Drowzee;;524/552;"75,93";ConfusionFast;Psychic;75;10;14;13;15;;No;http://poke.isitin.org/#OTYsMjIsMTgsNTI0LDc1
90;Shellder;;242/258;"75,41";TackleFast;IcyWind;29;15;13;7;3;;No;http://poke.isitin.org/#OTAsMjIsMTEsMjQyLDI5
148;Dragonair;;326/341;"74,72";DragonBreathFast;Wrap;47;15;3;13;7;;No;http://poke.isitin.org/#MTQ4LDIyLDcsMzI2LDQ3
104;Cubone;;352/373;"74,70";MudSlapFast;BoneClub;53;11;13;11;17;;No;http://poke.isitin.org/#MTA0LDIyLDEzLDM1Miw1Mw==
21;Spearow;;347/372;"74,38";QuickAttackFast;DrillPeck;55;12;7;15;43;;No;http://poke.isitin.org/#MjEsMjIsMTksMzQ3LDU1
48;Venonat;;277/294;"74,21";BugBiteFast;Psybeam;55;14;5;12;22;;No;http://poke.isitin.org/#NDgsMjIsMTAsMjc3LDU1
11;Metapod;;85/93;"73,47";TackleFast;Struggle;35;14;13;1;3;;No;http://poke.isitin.org/#MTEsMjIsNyw4NSwzNQ==
89;Muk;;1359/1412;"73,37";PoisonJabFast;DarkPulse;126;14;8;8;21;;No;http://poke.isitin.org/#ODksMjIsMTksMTM1OSwxMjY=
99;Kingler;;845/885;"73,35";MudShotFast;XScissor;67;10;12;12;11;;No;http://poke.isitin.org/#OTksMjIsMTcsODQ1LDY3
114;Tangela;;710/745;"72,76";VineWhipFast;SolarBeam;72;9;15;11;14;;No;http://poke.isitin.org/#MTE0LDIyLDE1LDcxMCw3Mg==
119;Seaking;;1005/1051;"72,73";PoisonJabFast;IcyWind;98;15;2;13;16;;No;http://poke.isitin.org/#MTE5LDIyLDE4LDEwMDUsOTg=
142;Aerodactyl;;1065/1113;"72,28";BiteFast;AncientPower;92;15;11;4;6;;No;http://poke.isitin.org/#MTQyLDIyLDE4LDEwNjUsOTI=
19;Rattata;;104/113;"71,20";QuickAttackFast;BodySlam;24;10;14;10;22;;No;http://poke.isitin.org/#MTksMjIsNywxMDQsMjQ=
14;Kakuna;;98/109;"69,66";PoisonStingFast;Struggle;35;14;9;4;4;;No;http://poke.isitin.org/#MTQsMjIsOCw5OCwzNQ==
48;Venonat;;274/294;"69,09";ConfusionFast;Psybeam;55;13;5;11;22;;No;http://poke.isitin.org/#NDgsMjIsMTAsMjc0LDU1
97;Hypno;;1129/1185;"69,08";ZenHeadbuttFast;Psychic;104;11;11;9;15;;No;http://poke.isitin.org/#OTcsMjIsMTksMTEyOSwxMDQ=
22;Fearow;;173/182;"68,91";PeckFast;DrillRun;36;8;11;14;43;;No;http://poke.isitin.org/#MjIsMjIsNCwxNzMsMzY=
102;Exeggcute;;76/81;"68,85";ConfusionFast;AncientPower;28;15;1;10;10;;No;http://poke.isitin.org/#MTAyLDIyLDMsNzYsMjg=
88;Grimer;;378/403;"68,72";MudSlapFast;Sludge;74;9;15;8;21;;No;http://poke.isitin.org/#ODgsMjIsMTEsMzc4LDc0
